index,docs,raw_bytes,pri_store_bytes,compression_ratio,stored_fields_bytes,doc_values_bytes,inverted_index_bytes,points_bytes
test-logsdb-stored,119642150,53687091267,21777382976,2.465,9210908966,5412787074,5552158129,1578469618
test-logsdb-columnar-stored,119642150,53687091267,15523416407,3.458,0,13601423213,1920662568,0
test-standard-stored,119642150,53687091267,23141409990,2.32,9256877308,5875417612,5939526717,1865895461
test-standard-disabled,119642150,53687091267,14222716473,3.775,336151802,5875439117,5917927556,1865872880
test-logsdb-columnar-synthetic,119642150,53687091267,7249844041,7.405,0,5759167724,1489266018,0
